Title,URL,Address,Compensation,Employment Type,Description
Estimating Plan Clerk,https://newyork.craigslist.org/que/egr/d/long-island-city-estimating-plan-clerk/7052045811.html,long island city,20.00 an hour,full-time,"
        
Mechanical Contractor specializing in HVAC construction, installation and maintenance for the NY Tri-State area is currently seeking a qualified candidate to fill the role of a Plan Clerk on a full time basis. The Plan Clerk will report directly to the Director of Estimating. The Plan Clerk will be responsible in receiving and reviewing documents in regards to estimating, managing electronically stored files and following up on document changes. The job is heavily dependent on computer usage, you will be responsible in obtaining, sorting all plan documents for the company.

Description:

Plan Clerk will receive and review all request for proposals from clients.
Work with estimators to develop and manage an estimating schedule.
Obtain pricing from vendors and suppliers and subcontractors.
Ensure the estimating team has up to date information.
Maintain, update, and organize all electronic files including hard copies.
Assist in the preparation of proposals and bid folders
Follow-up on bids and estimates
Responsible for obtaining drawings for bidding purposes.

Qualification:

Minimum 1 year experience in a construction company
Ability to multi-task, work in a fast pace environment.
Strong organization skills.
Excellent verbal and written communication skills.
Should be well versed in computer usage and software such as Microsoft Office and Building Connected.

Our Company offers:

Medical / Dental / Vision
401(k)
Paid Time Off
Employee Stock Ownership Plan

The above statements are intended to describe the general nature and level of work performed by people assigned to this classification. They are not intended to be a complete list of all responsibilities, duties and skills required of personnel so classified. Duties and responsibilities may be added or changed as deemed appropriate by management at any time.

We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, creed, color, national origin, sexual orientation, age, sex, predisposing genetic characteristics, marital status, domestic violence victim status, disability or military status.    "
Drafter,https://newyork.craigslist.org/que/egr/d/brooklyn-drafter/7052109003.html,Ridgewood,TBD,full-time,"
        
Construction company specializing in exterior restoration will hire a draftsman/assistant. Basic knowledge of AutoCad necessary. Technical education a plus. We are willing to train the right candidate. Please send you resume.    "
Junior Architect,https://newyork.craigslist.org/wch/egr/d/mamaroneck-junior-architect/7052115955.html,Mamaroneck,Commensurate with Experience,full-time,"
        
Keller/Eaton Architects, PC is an award winning, high-end residential architectural and interior design firm in Mamaroneck, NY. We are seeking a talented and motivated individual to join our team to help create amazing spaces. Position is full time, with competitive salary and benefits. 

Qualifications: 

-Bachelor of Architecture from an accredited institution.
-Ability to work independently and collaboratively in a team environment.
-Willingness to multi-task, work on many different projects and meet project deadlines.
-Clear and concise written and verbal communication skills.
-Efficient drafting skills with particular attention to detail and line weight.
-Experience/interest in residential architecture a plus.
-Positive attitude and driven to learn/succeed.
-An outgoing personality…zombies need not apply.
-Proficiency in Autocad
-Experience in Photoshop/3-D modeling a plus.

Salary commensurate with experience.

In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification form upon hire.

For examples of our work or to learn more about the firm, please visit www.rkdea.com.

Please email your resume, work samples and salary requirements. No phone calls please.
    "
Project Architect(s),https://newyork.craigslist.org/que/egr/d/project-architects/7052133030.html,"Jamaica, Queens",Commensurate with Experience,full-time,"
        
Mssa, a Small Successful 8-Person Architectural studio based in Queens is seeking Project Architect(s). Our projects include single-family residential, multifamily, and mixed-use hospitality projects. The studio offers an opportunity to be involved in all phases of the urban built environment from Design Development, Construction Documents, Consultant Coordination and City Approvals to Project Close up. The candidate shall be willing to work on a whole range of projects from small extensions to multifamily and hospitality.

Requirements
• BS or 5-year Professional degree in Architecture
• Minimum 3 years US experience in an architecture office
• Proven ability to produce Construction Documents
• Working knowledge of NYC code and zoning regulations
• Familiarity with DOB procedures a plus
• Site visits and requisition review
• Check submittals and respond to requests for information
• Fluent with Autocad Architecture 2017/18
• Revit 2017 Experience a plus
• Strong work ethic 
• Fluent English 

Please submit your resume including work samples with a particular emphasis on construction documents.
    "
Junior/Intermediate Architect - Immediate Hire,https://newyork.craigslist.org/que/egr/d/long-island-city-junior-intermediate/7052181141.html,Long Island City,Competitive based on years of experience and aligning projects,full-time,"
        
Want to make a difference in New York City? NY based practice and advocate for sustainable design, is seeking a positive energy Junior and Intermediate Architect to work in a collaborative environment directly with owner. Work includes client-facing full process architecture design. Seeking an individual who shares the same approach to sustainable design. 

Minimum Requirements:
1. Bachelor's and/or Master's Degree in Architecture
2. 1+ year of professional experience within an Architecture practice
3. Full CD production knowledge in Revit
4. Experience in NYC Building Codes/Zoning a plus    "
Construction Inspector / Special Inspector,https://newyork.craigslist.org/que/egr/d/flushing-construction-inspector-special/7052245997.html,Queens,The salary is based on level of experience.,full-time,"
        
Job Description:

We are currently seeking an inspector to join our team to perform special inspection on New York City construction projects.

Duties and Responsibilities:
- Review construction documents and shop drawings.
- Perform special inspection for residential and commercial buildings in New York City.
- Prepare reports on inspection activities, file documentation and complete required technical report forms in accordance with New York City Building Codes.
- Coordinate with owners, contractors, and engineers.

Skills and Qualifications:
- High School Diploma is required. Bachelor’s degree or higher is preferred.
- 3+ years of related work experience as a construction or special inspector.
- Holding and/or be able to obtain the required ICC certification within three months of hire.
- Excellent verbal and written communication skills
- Ability to effectively work independently and collaboratively in a team environment
- Must be eligible to work in the United States
    "
Structural Engineer,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/7052249864.html,,The salary is based on level of experience.,full-time,"
        
Job Description:

We are currently seeking structural engineers at multiple levels to join our team. As a structural engineer, you will work with other team members in our highly collaborative environment to assure that designs are developed in accordance with appropriate codes and standards, quality control objectives are achieved, and project goals are met within the schedule and budget. This is an outstanding opportunity for a structural engineer to work on a variety of high-profile projects throughout the region. 

Duties and Responsibilities:

- Coordinate with architects, contractors, owners, and other engineers from the initial planning stages through final construction.
- Determine design criteria using relevant codes and standards.
- Analyze and/or prepare models and calculations for various structural elements and systems by using various software and/or hand calculations.
- Develop contract documents, including construction drawings and technical specifications
- Produce schematic and detailed designs and evaluation of planning and concept alternatives
- Review shop drawings, RFI's.
- Perform field inspections and write inspection reports.

Skills and Qualifications:

- Familiar with latest version of AutoCAD, Revit, ETABS, SAP2000, SAFE, RAM, Excel.
- Excellent verbal and written communication skills
- Ability to effectively work independently and collaboratively in a team environment
- Must be eligible to work in the United States

Entry Level Candidates:
- Bachelor’s degree in Civil or Structural Engineering.

Intermediate Level Candidates:
- Master’s degree in Civil or Structural Engineering.
- 3+ years of related work experience in concrete or steel framing building structural design, support-of-excavation and foundation system design, steel or concrete rebar shop drawing design, construction support design and field inspection.

Advance Level Candidates:
- Master’s degree in Civil or Structural Engineering.
- 8+ years of related work experience in concrete or steel framing building structural design, support-of-excavation and foundation system design, steel or concrete rebar shop drawing design, construction support design and field inspection.
- NYS PE License



    "
Project Architect -Revit | Multi Family Residential,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect-revit-multi/7052267808.html,Midtown East,80-90K,full-time,"
        
Salary up to 100K  
Intermediate/Senior Level Architect | Project Architect  
Immediate Opportunity with true professional development. Full time position with salary + benefits package. Work on high profile condo conversions with a focus upon design. 
Involvement includes Design through Construction including Construction Documents.  
To be considered for this unique position all candidates must have the following: 
Bachelor of Architecture or Masters of Architecture from an accredited university. 
3-10 years of current New York City residential architecture project experience. 
2+ years of experience with a minimum of 2 completed projects using Revit in a professional office setting. Experience with and strong knowledge of New York building code and zoning requirements. 

Candidates must also be authorized and eligible to work in the U.S. for any employer.

Firm Description:
Multi-disciplinary design focused architecture and design firm with a focus upon New York City multi-family residential projects.    "
PART TIME / FREELANCE / INT ARCHITECTURAL DESIGNER - ENTRY LEVEL,https://newyork.craigslist.org/brk/egr/d/brooklyn-part-time-freelance-int/7052653705.html,DUMBO,Hourly pay commensurate with experience.,part-time,"
        
KDA is looking to hire a part-time /freelance designers/ and interns to join our firm.  We are a boutique design outfit specializing in bespoke high-end residential design. We are looking to find a talented and motivated entry-level designer to contribute to all phases of design.  Responsibilities would include design, drafting, detailing, site visits, and construction administration.  Ideal candidates would also be interested in helping the firm in its rebranding project and be excited to work on graphics, social media, standardization, renderings, competitions, and another firm critical clerical work.

We offer great flexibility and work/life harmony balance.  This is opportunity is best suited for somebody looking to gain a significant amount of experience and responsibility quickly.  Possibility for this position to transition to full time if desired. 

Vectorworks experience preferred.  

Please send resumes, cover letters, and portfolios (NTE 10MB) along with availability and compensation expectations. 

We look forward to meeting you!    "
Pro Aire Design seeks Full Time HVAC Estimator / Estimating Assistant,https://newyork.craigslist.org/brk/egr/d/brooklyn-pro-aire-design-seeks-full/7052843065.html,East Flatbush,Negotiable,full-time,"
        
compensation: Negotiable
employment type: full-time
Pro Aire Design is seeking a full-time HVAC Estimating Assistant ($15-22 an hour)

*Please reference job title on subject, send resume in PDF, and text format on the body of email*

We are a company based in Brooklyn is looking for a HVAC Estimating Assistant with a 1-3 years' of experience in taking off a plans. Knowledge of drafting for HVAC metal shop, and coordination drawings in 2D/3D is a plus. The candidate should have knowledge of plumbing. The candidate will work in engineering department with professional. Compensation and benefits based on experience.

MAJOR FUNCTION/ROLE
Will work with project managers, and mechanical engineers to take off plans, create CAD files, and construction documents for HVAC projects. Additionally, keep track of incoming/outgoing products, purchase forecast, and return.

JOB DUTIES
• Take off plans + Performs computer-aided drafting and design work of considerable complexity. Incumbents at this level can work from verbal or written specifications.
• Create 2D and 3D models using AutoCAD MEP
• Prepare HVAC Shops, As-Builts and Coordination drawings

EDUCATION AND EXPERIENCE
• High school diploma (or equivalent) plus two years related experience; OR
• An Associate Degree in a related technical field plus one years related experience;
• Must have at least 1-3 years of experience in taking off plans and HVAC CAD preparation of Construction Documents, with additional experience preferred.

Pro Aire Design Offers:
• Competitive wages
• Medical benefits
• Paid vacation
• Paid holidays
• Employee product discounts

We are an Equal Opportunity Employer; all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, among other things, or status as a qualified individual with a disability. If our company sounds like a place you want to be a part of please feel free to send your resume along with any inquiries. We look forward to hearing from you!    "
Part-Time / FREELANCE  OPPORTUNITY-for N.Y.I.T. Architecture students+,https://newyork.craigslist.org/mnh/egr/d/part-time-freelance-opportunity-for/7052917796.html,Chelsea,$18.00 - to - $22.00 / hour - depending on skill and experience,part-time,"
        
**ATTENTION:  all N.Y.I.T. Architecture and Urban Design Graduate Students, and recent graduates:

Part-time, freelance architecture / urban design position available immediately
for
a SENIOR-LEVEL Architecture STUDENT, or Graduate-Level Urban Design STUDENT, 
or RECENT GRADUATE

Small, creative, friendly design office environment, on West 30th Street, in Manhattan;  approx. 24-29 hours/week, on an hourly basis  (from $18 -to - $22./hour depending on experience and skills)

Wide variety of very interesting projects include: urban design, downtown revitalization, façade restoration, Landscape Architecture, and streetscape;  as well as architecture, residential, museums, healthcare, and commercial work, interiors, etc.

MUST have an Architecture and/or Urban Design degree (or graduating soon)
and must have excellent english - verbal & written skills
*your cover letter should demonstrate this

Please NO ""CAD operators"", NO advanced/ or Senior-level architects, or anyone without specific architectural education and experience

Must have excellent design and drafting / drawings skills, and computer skills including ACAD, SketchUp, 3D-Max, and PhotoShop, Excel, etc. 

Please send resume, and work sample
Thanks!
    "
Junior Construction Architect (Licensed or Unlicensed),https://newyork.craigslist.org/mnh/egr/d/jersey-city-junior-construction/7052992808.html,Jersey City,"Professional compensation that meets levels of education, experience, skills, compensation history.",full-time,"
        
Seeking full time LICENSED or UNLICENSED, JUNIOR or SENIOR CONSTRUCTION ARCHITECT.
3 to 5+ years of architectural design, drafting, detailing & managing construction-related plans, drawings, documents for multifamily/mixed use projects, using AutoCAD, Revit and other tools.

URBAN ARCHITECTURE LLC is a small ‘design/build’ architectural & civil engineering firm in Jersey City, working in-house with MANHATTAN BUILDING COMPANY, private developer/ builder of award winning projects in Hudson County, NJ.
Continuing long term development, design, construction of mid/high rise luxury multifamily/ mixed use projects in historic neighborhood, incl. upgraded roads, sidewalks, streetscapes & parks.

Work side by side with Chief Architect, licensed Architects, Civil Engineer, Civil Drafter-Detailer, Project Coordinator & construction mgmt. team. Offices directly adjacent to primary construction & civil roadwork and public park development sites.

EXPERIENCE & OTHER REQUIREMENTS

• U.S. experience in multifamily/mixed use construction architectural design, drafting, detailing & document mgmt; at least some (or significant) high rise / mid rise multifamily/mixed use experience are a big plus.

• Must be legal U.S. resident, and currently live in or reasonable commute to Jersey City NJ.

• Able to ‘hit the ground running’ on architectural design, construction drafting, detailing, document management, plans, elevations, details, sections, shop & coordination drawings, site plans, exterior/interior layouts, etc. with general knowledge of mid/high rise building codes.

• Civil engineering drawing/detailing experience or exposure are a plus but not required.

• Architectural or other relevant degrees or technical training should be all or significantly U.S. based.

• Good writing & communication skills; prefers team interaction rather than solo setting; hard working, upbeat, pleasant.

OPPORTUNITY & BENEFITS

• True long term career opportunity; 5-6 years of primary project with other concurrent and future projects already in development.

• Work with experienced, friendly, energetic team, in offices with construction mgmt, legal, finance, HR. Professional development via frequent industry ‘lunch & learns’, and office adjacent to primary construction & civil sites for site visits and work with construction managers.

• Work hard but hours are reasonable.

• Very competitive salary based on education, certifications, experience and skills, past salary history.
Health insurance, 401K, paid vacations & personal days.

LEARN MORE: manhattanbuildingcompany.com    "
Structural engineer position available. Bilingual Russian preferred.,https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-position/7052994663.html,Brooklyn NY,Based on Experience,full-time,"
        
Structural engineer position available.
Architectural Consulting Company is looking for a full time structural engineer which will work with planning and development of structural drawings, specifications for new and renovation of existing facilities, perform site visits, assisting a senior staff member in the completion of day to day projects. Strong understanding of NYC Building code is required however training will be provided. It is a fast-paced office, and we expect the employees to have knowledge and understanding of the processes involved in getting a project approved. 
Please include resume and portfolio. Bilingual Russian preferred.
    "
Architect/Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/7053015487.html,New York,Compensation commensurate with experience,full-time,"
        
We are an established and awarded small architectural firm located in Manhattan. Our projects cover public buildings and educational facilities. We are looking to hire talented individuals who have the potential and ambition for growth towards positions in office leadership.
Our office organization enables staff members a hands-on experience. Working on multiple projects and different phases of work, including design, construction documents and job administration. Our transparent office environment provides exposure to all aspects of the practice.
Qualifications:
•	Be a US citizen or be permitted to work in the USA
•	Professional degree in Architecture
•	Skill in Autocad and presentation software. Revit capability a plus.
•	USA experience in design, detailing and construction administration.
•	Verbal and writing abilities.
Work description:
•	Participate in the design and production of multiple projects at all design and project administration phases.
•	Attend site meetings and prepare minutes. Observe and document progress and quality of construction work.
•	Communicate with in-house staff, consultants and clients.
•	Demonstrate skill in the use of drafting and presentation software.

We offer competitive salaries, health coverage and profit sharing.
Interested candidates should email a cover letter, resume, work samples and requested compensation in PDF format.
    "
Draftsman,https://newyork.craigslist.org/mnh/egr/d/new-york-draftsman/7053034286.html,Flatiron,$25-30,full-time,"
        
For 17 years, NY Loft, a custom architectural millwork and cabinetry company has run a home interiors showroom on 20th street in the Flatiron district of Manhattan working on custom luxury interiors. We work with both residential clients and real estate developers and focus on specialty projects. Many of our clients require custom finishes and craftsmanship that necessitate imports from all over the world. Currently we are working on projects by David Chipperfield Architects, ODA, Rockwell Group, Adjaye Associates, Pierre Yovanovitch, and Gilles & Boissier. 

We are seeking a skilled draftsman for immediate hire.

Work will include:
- Detailed shop drawings
- Ability to use CAD strategically as a collaborative information management system that grows the company (Proficient use of blocks, layers, and Xrefs)
- Analysis and interpretation of Architectural Drawings
- In-depth understanding of how cabinets and millwork are built and installed
- Ability to take detailed site measurements

The ideal candidate will be proficient in:
- AutoCAD LT
- Rhino
- Excel

We are open to part time work with the right candidate. The hourly rate will be commensurate with experience. We strive for a reasonable work/life balance with regular hours of 10-6. There may be some occasional late days
    "
Architectural drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-drafter/7053089575.html,,by job,part-time,"
        
Looking for a auto cad drafter to prepare construction plans for filling has to be fast & flexible hours  familiar with nyc building code & zoning    "
◄◄  SKETCHUP PROFESSIONAL AVAILABLE FOR YOUR 3D PROJECT,https://newyork.craigslist.org/que/egr/d/astoria-sketchup-professional-available/7053384342.html,"Metro New York, Long Island",Per Project Quote,contract,"
        
    "
Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/7053451893.html,Midtown,Competitive Salary,full-time,"
        
GF55 Partners (www.GF55.com) seeks a talented and motivated full time Intermediate Architect for its NYC Office. Enjoy a stimulating and challenging team work environment with a variety of significant projects.  The position requires strong design, analytical and communication skills to interact with colleagues, clients and consultants.  GF55 offers an environment where professional growth and development is encouraged.
GF55 seeks excellence by a collaborative search for the best solution in the creation of architecture 

Skills Required 
•	Revit, Cad, Sketchup, Photoshop, In Design and MS Office Suite
•	Strong Analytical skills, and good follow through 
•	Ability to collaborate and work independently 
•	Bachelor's Degree in Architecture or higher
•	Authorized to work in the US
•	1-3 years of relevant experience 

Compensation commensurate with qualifications. GF55 pays a competitive salary with benefits. 

Include in your application:
•	Cover Letter
•	Resume 
•	Work Samples
    "
Junior Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect/7053536705.html,Harlem / Morningside,based on experience/Hourly,part-time,"
        
Junior Architect (Upper West Side)

compensation: Commensurate with experience
employment type: Part Time
Small Architectural / Interior Design firm located in the Upper West Side, specializing in residential and commercial projects, seeks talented Junior Architect. Work will consist of assisting in all phases of schematic design, development, preparation of DOB drawings and applications, construction documents, construction site visits, archiving and general office activities. Candidates must be highly motivated, quick learners, with a passion for architecture and desire to learn and grow. Excellent AutoCAD drafting abilities and 3D rendering are a must. Candidates must be responsible, organized, punctual, reliable, have good communication skills, and be team-players, capable of multi-tasking and focused on producing accurate results.
Please reply ONLY if you:
1. Previous working experience in an Architectural firm is a plus
2. send pdf work samples of similar work ONLY
3. send a cover letter and your resume
4. indicate your availability You reply must include response to all 4 requirements

Please send email to career@43hundred.com    "
architect/interior designer,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-interior-designer/7053575686.html,Chelsea,The salary is based on level of experience.,full-time,"
        
Architect/ Interior Designer
RADU ARCHITECTS is seeking full-time/part time architect with 3-5 years architecture & design Interior  experience. Experience in all aspects of design and production. Candidate must be able to manage more than one project at one time varying in size.
Candidate should have experience in dealing with clients.
Candidate should have good design sense and be knowledgeable in construction documents. The Architect will be responsible for all or some of the project phases such as; Schematic Design, Design Development, Construction Documents, Custom Millwork Detail and Shop Drawings Review.
Prerequisites:
1.	3-5 years’ experience working for a NYC Architectural Firm/ Interior Design firm.
2.	Proficient in producing CD’s 
3.	Project Management/Consultants coordination.
4.	Client relations experience
5.	Good design sense.
6.	 Knowledge of NYC building codes and NYC zoning.
7.	NY Professional License a plus.
Candidate Qualifications:
1.	Excellent oral and written communication skills.
2.	Proficient in creating coordinated construction document sets.
3.	Resolves technical and code issues.
4.	Produce Schematic Design Proposals.
If qualified, please email resume 

    "
